timestamp_s,text
52.89,So it takes a bit and here it is.
52.89,"Okay. Hi, Lauren."
52.89,Nice to meet you.
52.89,I expect that you are not nervous.
57.95,because it's not too effective.
57.95,"But yeah, can you talk us out more about yourself?"
57.95,Of course.
63.78,"First of all, thank you so much for having me here today."
63.78,So my name is Laurenga Guevro.
63.78,I am 21.
67.78,"years old and I am a computer science student at the University of California, Riverside."
72.53,been studying here for a year now and my home university is Universidad Carlos
72.53,Terfero de Madi.
76.62,it where I studied data science and engineering and I'll be graduating in May 2026.
81.40,So what I've been focusing on is AI artificial intelligence
86.55,computer vision and machine learning models also working with programming languages like
92.48,"Python, SQL, or even RStudio."
92.48,And I am really excited to be here today.
97.47,and to potentially be participating in the team and working inside the company in a real-world project.
103.02,That's a really nice profile.
103.02,"Can you talk more about your work experience, for example?"
107.75,"Of course, so last year I was working for I was working in that position"
113.53,a data science intern at a company named Itaka that was back in Spain.
113.53,And what I was doing
117.98,there we were developing in an AI model that taking an image or a video of the
122.88,"client's hand, it could detect or it could predict via their ring size."
127.86,and that was used for clients who wanted to buy rings in online shopping.
133.42,and that was helping them make better decisions when buying.
133.42,So it was really interesting to participate.
137.94,in the development and experiment with AI and computer vision tools and also work together.
144.00,"closely with a real company team. Okay, very nice. Can you talk me more about your..."
148.90,"academic background status studies? Yes, of course. So as I said before, I..."
153.71,I started studying in September 2022 data science and engineering and ever since then I
159.94,"have done great, I have worked hard and obtained great results, that has allowed me to obtain"
159.94,a scholarship to study abroad.
164.21,and some of them I have worked in many different projects but a very interesting one was this project
167.96,where we developed an AI intelligent
174.95,interview assistant and I did this with a group of very talented students. It was really interesting and I learned
181.60,"So many stuff, especially about web development."
181.60,"Okay, so let me ask you a last question."
185.18,Can you talk to me more about a program or any kind of...
192.07,that you face in your work?
192.07,Uh...
192.07,Okay.
192.07,It might have...
196.26,collapse because sometimes the CPU but it's well this is enough
